key,F001,F010_str,F245,normalized_title,normalized_edition,normalized_pub,source,match_key,F007_str,F020_str,F250_str,F260_str,id_list_str,key_array_str,F007_code,F007_desc,borrowdir_id
9789381005408,9978085185803681,,880-01 Bhāratīya citrakalā meṃ Jaina citraśailī / Jhābara Mala Varmā.,880-01 bhāratīya citrakalā meṃ jaina citraśailī / jhābara mala varmā.,880-02 1. saṃskaraṇa.,,penn,880-01 bhāratīya citrakalā meṃ jaina citraśailī / jhābara mala varmā._880-02 1. saṃskaraṇa.,ta,9789381005408,880-02 1. saṃskaraṇa.,,9789381005408,9789381005408,t,Text,['adb4ad56-6556-4a0c-ab9f-ce37f866c76c']
9788170565628,9977914437003681,,880-01 Kamaleśvara ke kathā-sāhitya meṃ madhyavarga / Vimaleśa Śarmā.,880-01 kamaleśvara ke kathā-sāhitya meṃ madhyavarga / vimaleśa śarmā.,880-02 saṃskaraṇa 1.,,penn,880-01 kamaleśvara ke kathā-sāhitya meṃ madhyavarga / vimaleśa śarmā._880-02 saṃskaraṇa 1.,ta,9788170565628,880-02 Saṃskaraṇa 1.,,9788170565628,9788170565628,t,Text,['5ec8f078-bc46-43f6-989c-b92212c1c5eb']
9788126423415 paperback,9962328533503681,,"880-01 Mālguḍidinaṅṅaḷ / Ār. Ke. Nārāyaṇ ; vivarttanaṃ, R̲ōy Kuruviḷa.","880-01 mālguḍidinaṅṅaḷ / ār. ke. nārāyaṇ ; vivarttanaṃ, r̲ōy kuruviḷa.",,,penn,"880-01 mālguḍidinaṅṅaḷ / ār. ke. nārāyaṇ ; vivarttanaṃ, r̲ōy kuruviḷa.",ta,9788126423415 paperback,,,9788126423415 paperback,9788126423415 paperback,t,Text,['da3bcdca-6472-4761-8033-21c575d70a65']
8192611396,9978003905503681,,880-01 Mōhanasvāmi : kathāsaṅkalana / Vasudhēndra.,880-01 mōhanasvāmi : kathāsaṅkalana / vasudhēndra.,,,penn,880-01 mōhanasvāmi : kathāsaṅkalana / vasudhēndra.,ta,8192611396,,,8192611396,8192611396,t,Text,['aa6b223f-f1ab-454e-a0af-717d561d4502']
9788126435432,9959112523503681,,"880-01 Prācīna lōkacaritraṃ / Her̲oḍōṭṭas ; vivarttanaṃ, Tōmas Naṭaykkal.","880-01 prācīna lōkacaritraṃ / her̲oḍōṭṭas ; vivarttanaṃ, tōmas naṭaykkal.",,,penn,"880-01 prācīna lōkacaritraṃ / her̲oḍōṭṭas ; vivarttanaṃ, tōmas naṭaykkal.",ta,9788126435432,,,9788126435432,9788126435432,t,Text,['b5c67eee-8fad-450f-8ec5-91b07aada145']
"880-01 rājasthānī sāhitya-saṅgraha / sampādaka, narottamadāsajī svāmī._880-02 dvitīyāvr̥tti._880-03 jodhapura : rājasthāna prācyavidyā pratishṭhāna, 1966-<1997>",9957587673503681,,"880-01 Rājasthānī sāhitya-saṅgraha / sampādaka, Narottamadāsajī Svāmī.","880-01 rājasthānī sāhitya-saṅgraha / sampādaka, narottamadāsajī svāmī.",880-02 dvitīyāvr̥tti.,"880-03 jodhapura : rājasthāna prācyavidyā pratishṭhāna, 1966-<1997>",penn,"880-01 rājasthānī sāhitya-saṅgraha / sampādaka, narottamadāsajī svāmī._880-02 dvitīyāvr̥tti._880-03 jodhapura : rājasthāna prācyavidyā pratishṭhāna, 1966-<1997>",ta,,880-02 Dvitīyāvr̥tti.,"880-03 Jodhapura : Rājasthāna Prācyavidyā Pratishṭhāna, 1966-<1997>",,"880-01 rājasthānī sāhitya-saṅgraha / sampādaka, narottamadāsajī svāmī._880-02 dvitīyāvr̥tti._880-03 jodhapura : rājasthāna prācyavidyā pratishṭhāna, 1966-<1997>",t,Text,['1e383a2d-167c-46a9-92b1-7d01919604af']
(hbd.),9977914314703681,,880-01 Svatantra svara o dhvani : tina Bandyopādhyāẏa / Udaẏacān̐da Ghosha.,880-01 svatantra svara o dhvani : tina bandyopādhyāẏa / udaẏacān̐da ghosha.,,,penn,880-01 svatantra svara o dhvani : tina bandyopādhyāẏa / udaẏacān̐da ghosha.,ta,(hbd.),,,(hbd.),(hbd.),t,Text,['6ab5c2d1-34d3-4c07-b906-58c797b8fa31']
"acalpūr : tārīk̲h̲ aur s̲aqāfat / murattib, k̲h̲vājah rabbānī.",9961058033503681,,"Acalpūr : tārīk̲h̲ aur s̲aqāfat / murattib, K̲h̲vājah Rabbānī.","acalpūr : tārīk̲h̲ aur s̲aqāfat / murattib, k̲h̲vājah rabbānī.",,,penn,"acalpūr : tārīk̲h̲ aur s̲aqāfat / murattib, k̲h̲vājah rabbānī.",ta,,,,,"acalpūr : tārīk̲h̲ aur s̲aqāfat / murattib, k̲h̲vājah rabbānī.",t,Text,['f5a8b9cc-5282-4269-b92a-90dcbff2d542']
analytical report on houses household amenities and assets sachin sinha director of census operations madhya pradesh,9962451823503681,,"Analytical report on houses, household amenities and assets / Sachin Sinha, Director of Census Operations, Madhya Pradesh.",analytical report on houses household amenities and assets sachin sinha director of census operations madhya pradesh,,,penn,analytical report on houses household amenities and assets sachin sinha director of census operations madhya pradesh,ta,,,,,analytical report on houses household amenities and assets sachin sinha director of census operations madhya pradesh,t,Text,"['e9cb5bad-5c0a-47cd-8ed9-65693051d882', '38719b44-10d0-4740-b120-7758379a0337', '40c0812b-f365-41be-9a26-159f840c1c0a', 'f4c9e167-b3cd-4ce1-8bd5-f0b86ac8fb03']"
2013316449,9961393413503681,2013316449,Burma and India : some aspects of intellectual life under colonialism / Aung San Suu Kyi.,burma and india some aspects of intellectual life under colonialism aung san suu kyi,second revised edition,,penn,burma and india some aspects of intellectual life under colonialism aung san suu kyi_second revised edition,ta,9789382396017 paperback; 9382396012 paperback,Second revised edition.,,2013316449; 9789382396017 paperback; 9382396012 paperback,2013316449; 9789382396017 paperback; 9382396012 paperback,t,Text,['8d73c33a-9e83-4caf-ad42-8d27027d968d']
9788176505086,9977505321503681,2012337651,Diaspora imagination / by Reshmi Ramdhony.,diaspora imagination by reshmi ramdhony,first edition,new delhi star publications 2012,penn,diaspora imagination by reshmi ramdhony_first edition_new delhi star publications 2012,ta,9788176505086,First edition.,"New Delhi : Star Publications, 2012-",2012337651; 9788176505086,2012337651; 9788176505086,t,Text,['62988f1e-78a2-4497-bf46-fc85baa7b078']
9786074017304,9961683763503681,,Entre litigar justicia y procurar leyes : la defensoría de indios en el Yucatán colonial / Gabriela Solís Robleda.,entre litigar justicia y procurar leyes : la defensoría de indios en el yucatán colonial / gabriela solís robleda.,1. edición.,,penn,entre litigar justicia y procurar leyes : la defensoría de indios en el yucatán colonial / gabriela solís robleda._1. edición.,tu,9786074017304; 6074017301; 9786074862287 (CIESAS); 6074862281 (CIESAS),1. edición.,,9786074017304; 6074017301; 9786074862287 (CIESAS); 6074862281 (CIESAS),9786074017304; 6074017301; 9786074862287 (CIESAS); 6074862281 (CIESAS),t,Text,['a29c6568-39cb-4b6c-91b2-53b917f46731']
80021000,99792293503681,80021000,Evangelist of race : the Germanic vision of Houston Stewart Chamberlain / Geoffrey G. Field.,evangelist of race the germanic vision of houston stewart chamberlain geoffrey g field,,,penn,evangelist of race the germanic vision of houston stewart chamberlain geoffrey g field,ta,0231048602; 9780231048606,,,80021000; 0231048602; 9780231048606,80021000; 0231048602; 9780231048606,t,Text,['357ac7be-c7c9-4d75-93b0-5674f39d7bd0']
2013315816,9959432163503681,2013315816,"Exclusion, social capital and citizenship : contested transitions in South Africa and India / edited by Tina Uys and Sujata Patel.",exclusion social capital and citizenship contested transitions in south africa and india edited by tina uys and sujata patel,,,penn,exclusion social capital and citizenship contested transitions in south africa and india edited by tina uys and sujata patel,ta,9788125047780; 8125047786,,,2013315816; 9788125047780; 8125047786,2013315816; 9788125047780; 8125047786,t,Text,['f656866a-ec1c-42b5-8074-40f36f9f2bc0']
9780300219722 (paperback),9959406703503681,2012034381,Franz Kafka : the poet of shame and guilt / Saul Friedländer.,franz kafka the poet of shame and guilt saul friedlander,,,penn,franz kafka the poet of shame and guilt saul friedlander,tu,9780300136616 (cloth ; alkaline paper); 0300136617 (cloth ; alkaline paper); 9780300219722 (paperback); 0300219725 (paperback),,,2012034381; 9780300136616 (cloth ; alkaline paper); 0300136617 (cloth ; alkaline paper); 9780300219722 (paperback); 0300219725 (paperback),2012034381; 9780300136616 (cloth ; alkaline paper); 0300136617 (cloth ; alkaline paper); 9780300219722 (paperback); 0300219725 (paperback),t,Text,"['b1eaf209-c73b-4424-958c-c4d21f375e2c', '517787f8-c02e-4d8a-ab2c-0f46964366e6', 'ef135a6c-0f5e-4ee3-98f7-e43452063e2c', '0679b3b8-57e9-4842-b23a-6fddc79a2b8b']"
9788173201240,9977940624803681,2013315265,"Goddess worship in the Western Himalayas : temples, tradition, art, and rituals / Deepak Rawat.",goddess worship in the western himalayas temples tradition art and rituals deepak rawat,,,penn,goddess worship in the western himalayas temples tradition art and rituals deepak rawat,ta,9788173201240; 8173201242; 8173201240,,,2013315265; 9788173201240; 8173201242; 8173201240,2013315265; 9788173201240; 8173201242; 8173201240,t,Text,['26489ff6-2e18-438c-bc72-6f2dcbee02bb']
golconda fort guide map & colour pictures.,9961058073503681,,Golconda Fort guide map & colour pictures.,golconda fort guide map & colour pictures.,,,penn,golconda fort guide map & colour pictures.,ta,,,,,golconda fort guide map & colour pictures.,t,Text,"['f0be8adf-37a0-412e-aefc-ebb8e57b3cdc', '00bc0134-3514-4106-9919-310c26a63961', '50a7e009-0088-4f00-8728-c83ea14dc980']"
